year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,johnston_rotation_code,bulk_density,percent_soc,percent_n,note_id
1969,1,11,FYM,alternating,Lu/Ar,LN8,1.508,0.940,*,*
1969,1,12,none,alternating,Lu/Ar,LN8,1.508,1.010,*,*
1969,1,13,FYM,ley_arable,L,LN3,1.388,1.210,*,*
1969,1,14,none,ley_arable,L,LN3,1.388,1.010,*,*
1969,1,15,none,alternating,Ah/L,LC8,1.508,0.930,*,*
1969,1,16,FYM,alternating,Ah/L,LC8,1.508,1.300,*,*
1970,3,33,FYM,ley_arable,Lu,LC3,1.388,1.040,*,*
1970,3,34,none,ley_arable,Lu,LC3,1.388,0.900,*,*
1970,3,35,FYM,alternating,Ar/Lu,LN8,1.508,1.090,*,*
1970,3,36,none,alternating,Ar/Lu,LN8,1.508,1.140,*,*
1970,3,37,none,alternating,Lu/Ar,LN8,1.508,0.930,*,*
1970,3,38,FYM,alternating,Lu/Ar,LN8,1.508,1.070,*,*
1970,3,39,FYM,arable,Ar,AF,1.508,0.940,*,*
1970,3,40,none,arable,Ar,AF,1.508,0.930,*,*
1970,3,41,none,alternating,L/Ah,LC8,1.508,0.950,*,*
1970,3,42,FYM,alternating,L/Ah,LC8,1.508,1.140,*,*
1970,3,43,none,ley_arable,L,LN3,1.388,1.320,*,*
1970,3,44,FYM,ley_arable,L,LN3,1.388,1.540,*,*
1970,3,45,none,arable,Ah,AB,1.508,1.030,*,*
1970,3,46,FYM,arable,Ah,AB,1.508,1.170,*,*
1970,3,47,none,alternating,Ah/L,LC8,1.508,1.230,*,*
1970,3,48,FYM,alternating,Ah/L,LC8,1.508,1.330,*,*
1971,5,65,none,ley_arable,L,LN3,1.388,1.160,*,*
1971,5,66,FYM,ley_arable,L,LN3,1.388,1.380,*,*
1971,5,67,FYM,arable,Ah,AB,1.508,1.210,*,*
1971,5,68,none,arable,Ah,AB,1.508,1.250,*,*
1971,5,69,none,alternating,Lu/Ar,LN8,1.508,0.990,*,*
1971,5,70,FYM,alternating,Lu/Ar,LN8,1.508,1.130,*,*
1971,5,71,none,alternating,Ar/Lu,LN8,1.508,1.040,*,*
1971,5,72,FYM,alternating,Ar/Lu,LN8,1.508,1.110,*,*
1971,5,73,FYM,arable,Ar,AF,1.508,0.900,*,*
1971,5,74,none,arable,Ar,AF,1.508,0.860,*,*
1971,5,75,FYM,alternating,Ah/L,LC8,1.508,1.260,*,*
1971,5,76,none,alternating,Ah/L,LC8,1.508,1.210,*,*
1971,5,77,FYM,alternating,L/Ah,LC8,1.508,1.060,*,*
1971,5,78,none,alternating,L/Ah,LC8,1.508,0.970,*,*
1971,5,79,none,ley_arable,Lu,LC3,1.388,1.060,*,*
1971,5,80,FYM,ley_arable,Lu,LC3,1.388,1.210,*,*
1972,4,49,FYM,alternating,Ah/L,LC8,1.508,1.193,*,5.000
1972,4,50,none,alternating,Ah/L,LC8,1.508,1.106,*,5.000
1972,4,51,none,alternating,Ar/Lu,LN8,1.508,1.178,*,5.000
1972,4,52,FYM,alternating,Ar/Lu,LN8,1.508,1.265,*,5.000
1972,4,53,none,arable,Ah,AB,1.508,1.102,*,5.000
1972,4,54,FYM,arable,Ah,AB,1.508,1.241,*,5.000
1972,4,55,none,alternating,L/Ah,LC8,1.508,1.249,*,5.000
1972,4,56,FYM,alternating,L/Ah,LC8,1.508,1.403,*,5.000
1972,4,57,FYM,ley_arable,L,LN3,1.388,1.362,*,5.000
