year,block,main_plot,split_plot,plot_code,previous_FYM_factor_level,N_factor_level,N_factor_code,N_fertilizer_amount,number_of_N_applications,rotation_factor_level,basal_P_kg,date_P,basal_K_kg,date_K,basal_S_kg,date_S,cultivar,sow_date,harvest_date,grain_yield,note_id
1978,4,62,3,62.300,FYM,FA:N2,N126,126,1,LLc8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.911,*
1978,4,62,4,62.400,FYM,FA:N3,N189,189,1,LLc8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.031,*
1978,4,63,1,63.100,FYM,FA:N2,N126,126,1,AF,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.717,*
1978,4,63,2,63.200,FYM,FA:N0,N0,0,0,AF,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,2.016,*
1978,4,63,3,63.300,FYM,FA:N1,N63,63,1,AF,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,4.607,*
1978,4,63,4,63.400,FYM,FA:N3,N189,189,1,AF,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.990,*
1978,4,64,1,64.100,none,FA:N3,N189,189,1,AF,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.335,*
1978,4,64,2,64.200,none,FA:N1,N63,63,1,AF,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,4.572,*
1978,4,64,3,64.300,none,FA:N0,N0,0,0,AF,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,2.263,*
1978,4,64,4,64.400,none,FA:N2,N126,126,1,AF,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.814,*
1979,2,17,1,17.100,none,FA:N3,N189,189,1,AB,62.000,1978-11-09,62.000,1978-11-09,0.000,*,Flanders,1978-11-09,1979-08-30,3.795,*
1979,2,17,2,17.200,none,FA:N2,N126,126,1,AB,62.000,1978-11-09,62.000,1978-11-09,0.000,*,Flanders,1978-11-09,1979-08-30,3.360,*
1979,2,17,3,17.300,none,FA:N1,N63,63,1,AB,62.000,1978-11-09,62.000,1978-11-09,0.000,*,Flanders,1978-11-09,1979-08-30,3.030,*
1979,2,17,4,17.400,none,FA:N0,N0,0,0,AB,62.000,1978-11-09,62.000,1978-11-09,0.000,*,Flanders,1978-11-09,1979-08-30,0.782,*
